"Достоинства: ничего
Недостатки: почитал положительные отзывы и сразу становится ясно , проплаченные, даже не пытались завуалировать , думаю на хороший препарат такой ерундой бы не занимались!",Афобазол
"Достоинства: Препарат рабочий, нервы успокаивает. 
В время курса приема советую не пить чай, кофе, колу, энергетики и другие напитки, которые содержат кофеин. А так же ещё алкоголь 😉
Комментарий: Если вам препарат не подошёл, то тогда надо к врачу, чтобы он подобрал рецептурные транквилизаторы 😬",Афобазол
"Достоинства: Их нет!
Недостатки: Не помогает вообще.
Комментарий: Зря только деньги потратил и время, максимум что можно получить от этих таблеток так это плацебо, но в моём случае изменений никаких от приема Афабозола.",Афобазол
"После потери близкого человека думала сойду с ума. Еще и навалилось все. По совету врача стала пить Авиандр. После него лучше гораздо. Настроение вроде появилось, снова стала жить нормальной жизнью.",Авиандр
"Пробовала разные подобные препараты, но из всех, этот мне подошел идеально. Не седативный, эффект заметный уже через неделю приема.",Авиандр
"Достоинства: Очень помог
Недостатки: Нет
Комментарий: У меня всегда были разные тревожности, но в рамках разумного. После переезда в Москву стало сложнее. Одно метро меня втаптывало в бездну страха и паники, когда толпа в час пик тебя просто несёт куда-то. Работа оказалась тоже напряжённая, это постоянный процесс каких-то орг. вопросов. которые не имеют логического конца. И всё это дало сбой моей программе. Стали случаться панические атаки, это просто как будто готовишься умереть, так страшно становится. Решила не тянуть и обратилась к психиатру. Назначили терапию и Авинадр. Облегчение пришло уже к концу первой недели приёма. Уже забыла какого это - спокойно думать о чём-то, не переживать из-за пустяков и не только. Вообщем мне Авиандр подошёл на 100 из 100.",Авиандр
"Достоинства: Доступная цена, легко найти в любой аптеке, эффективен для нормализации нервов, не нужен рецепт.

Недостатки: Не нашла.

Комментарий: Лучшее безрецептурное противотревожное",Афобазол
"Достоинства: Таблетка небольшая по форме, удобно глотать. Вкус я особо не чувствовала, запивала водой.
Могу сказать, что при моих тревожных состояниях Афобазол отлично помогает действительно. Врач",Афобазол
"Достоинства: Самое главное - действительно помогает легче переживать стресс, сопротивляться депрессии, что-то делать, когда без него просто лежала весь день и плакала в подушку. Снотворного",Афобазол
"Хороший отечественный препарат, предназначенный для устранения тревожного состояния, вызванного разными причинами (работа, личная жизнь, проблемы с детьми и т.д.). Курс составляет всего месяц, пить",Афобазол
"Каждый год осенью мир становился для меня каким-то серым и унылым. Очень завишу от погоды, поэтому в этот период постоянно нет настроения, да еще и на работе такой завал, что некогда даже передохнуть.",Афобазол
"Очень рада, что в свое время решила принимать Афобазол для снижения тревожного синдрома. Я сама по себе человек очень мнительный, а в последние месяцы так вообще стала по каждому пустяковому поводу",Афобазол
"На меня Афобазол производит возбуждающий эффект, особенно в первые дни приема, причем не только в повседневной жизни, но и сексуальном плане, хочется чаще ... Не знаю что это, побочный эффект или",Афобазол
"Лично мне помогает успокоиться, когда есть тревожность и переживания. Стараюсь не принимать часто, но иногда в нужный момент действительно работает. Давала подруге, ей тоже помогло. Оцениваю",Афобазол
"Достоинства: Работает. Цена ок по сравнению с Новопасит.

Недостатки: Не обнаружил

Комментарий: У меня с нервами сложная ситуация. По крайней мере давно не могу спать и периодически",Афобазол
"2 месяца назад уволили с работы по непонятной мне до сих пор причине. Пока была в процессе поисков, хорошо понервничала, мало спала. Стала выглядеть хуже и плакать по любому поводу. Мама, глядя на",Афобазол
"Достоинства: Купила Афобазол с надеждой успокоить нервишки, а бонусом получила еще здоровый сон и отличное настроение.

Недостатки: нет

Комментарий: Вообще изначально очень боялась, что",Афобазол
"Отличный безрецептурный противотревожный препарат. Он, конечно, имеет накопительный эффект, но не имеет побочек и не вызывает сонливости, при том, что сон улучшает. Эффект виден после 2 недель",Афобазол
"Достоинства: хорошо помогает, недорогой

Недостатки: не нашла

Комментарий: Я работаю менеджером по продажам, нервы с такой работой стали ни к черту. Всё время был стресс, я его заедала",Афобазол
"Достоинства: + Действует. Но нужно достаточно долго употреблять. по инструкции.

Недостатки: - Дорогой! Очень-очень дорого. 
- Продается без рецепта, хотя ни разу не аскорбинка!
- Сила",Афобазол
"Если принимать строго по инструкции и хотя бы 1 месяц, то препарат работает. Проверила на собственном опыте. Была вынуждена прибегнуть к помощи противотревожного средства, так как на работе просто ад.",Афобазол
"Наконец-то дошла до того, чтобы бросить курить. 5 лет с сигаретами дали о себе знать. Так вот, процесс отказа от курения оказался сложнее, чем я думала. Начались психи, срывы необоснованные, голова",Афобазол
"Афобазол - единственный лекарственный препарат, который реально помог мне успокоиться и быстро засыпать. Честно, вот никакие травы, настойки и прочее не действуют так, как эти таблетки. Пить легко и",Афобазол
"Иногда я принимаю Афобазол для поддержания психологического равновесия. В жизни бывает не все гладко, но люди вокруг не виноваты...надо вести себя адекватно. Афобазол помогает. Он не затормаживает",Афобазол
Я довольно тяжело переживаю ПМС. За пару недель до начала цикла многие вещи начинают меня раздражать и выводить из себя. Родные в это время стараются держаться подальше и правильно делают.,Афобазол
"Достоинства: хорошо восстанавливает нервы, выраженное противотревожное действие

Недостатки: никаких

Комментарий: Люблю свою работу. Но даже с таким отношением от постоянных забот и",Афобазол
"В наши времена без таблеток от тревоги никак. К сожалению, с каждым разом становится все больше поводов для волнения. Сдерживать себя мне помогает Афобазол. Пью по 1 таблетке 3 раза в день и прекрасно",Афобазол
"Да, временами приходится спасаться именно этим препаратом. Хорошо помогает. Правда принимать нужно курсом. Кстати гастроэнтеролог при проблемах со внутренностями рекомендует начинать лечение с приёма",Афобазол
"Достоинства: успокоительный эфект есть употребляю препорат 20 дней

Недостатки: часто бывает сердцебиение после приёма припората

Комментарий: я не врач и рекомендовать к применению это не",Афобазол
"С такой работой как у меня без Афобазола иногда не обойтись. Когда начинаю замечать, что настроение скачет, тревожность появляется, проблемы с вниманием и сном, то начинаю курсом в течение месяца",Афобазол
"Достоинства: Помогает справиться, когда навалилось всё и сразу

Недостатки: Не всегда можно найти в аптеке, заказываю в интернете

Комментарий: Работаю главным бухгалтером в крупной",Авиандр
"Не хочу никого пугать, но мне не подошел этот препарат, уже на 5й день моя голова была очень тяжелой, мои мысли не могли сформироваться, а невнимательность достигла пика, долговато отходила, после",Авиандр
"Выписали авиандр и тералиджен, пила 2 месяца. Связано было с моими частым приступами тревоги, паничками, тошнотой, слабостью, отсутствием возможности концентрировать внимание, Бессонница, истерики с",Авиандр
"В последнее время часто была на взводе. Постоянно находились поводы для переживаний. Что накосячила, не так сказала, не то сделала. После авиандра стало все проще восприниматься, притупилась острота",Авиандр
"Достоинства: Убирает ПА

Недостатки: не выявлены

Комментарий: Переезд в мегаполис из провинциального городка дался мне нелегко. В метро стали случаться панические атаки. Стала скатываться",Авиандр
"Достоинства: Помогло убрать тревожное состояние и раздражительность. Два года были головные боли. Начала принимать и всё закончилось. Вспомнила, как радоваться жизни. Прошёл месяц после приёма и",Авиандр
"Достоинства: Удобно принимать, таблетки не горькие.

Комментарий: С Авиандром климакс стал переноситься легче. Сейчас нет перепадов настроения, бешенной тревожности и состояний, когда плакать",Авиандр
"Готовились с сыном к поступлению в институт. Даже не знаю кому из нас этот период дался труднее, но я себе заработала тревожное расстройство. К счастью, сын поступил, а мне прописали хорошее средство",Авиандр
"Достоинства: Очень помогает быть в строю

Недостатки: нет

Комментарий: Хроническая астения, назначили авиандр. Стал активнее. Есть мягкий антидепрессивный эффект, в котором я нуждаюсь",Авиандр
"Достоинства: Не нашла

Недостатки: Побочка ужас

Комментарий: Вначале назначили пить с утра,начались сильные головные боли,после переназначили пить на ночь, утром просыпаюсь от дикой",Авиандр
"Неприятности в один момент навалилось со всех сторон. В итоге пропал сон, не могла сконцентрироваться на работе, от этого посыпались замечания со стороны руководства. Пришлось обратиться к неврологу ,",Авиандр
"Достоинства: Нет

Недостатки: Дорогие, не помогают

Комментарий: Очень дорогой препарат, новый, не изучен до конца. Мне вообще не помог, так же слышу все звуки во сне и просыпаюсь, так же",Авиандр
"После серьезного стресса постоянно пребывала в состоянии тревоги, дошло до бессоницы. Авиандр пила курсом, месяц, 2 упаковки потратила (утром-вечером надо принимать). Сейчас колебаний настроения нет,",Авиандр
"Достоинства: Цена очень хорошая

Недостатки: Ощущения чуть меньше

Комментарий: До этого принимала Селектру. Но решила попробовать этот препарат, который изначально и выписал специалист,",Эсциталопрам
"Помогает справиться с тревожностью без побочек. Настроение тоже повышает хорошо. Уверенность и самооценку повышает. Либидо пропадает временно в начале, но через 3 месяца приема все норм становится.",Эсциталопрам
"Недостатки: нет.

Комментарий: Таблетки мне очень помогают.Фибриляция предсердий приступы,стали реже,раньше не могла справиться самостоятельно.Вызывала скорую.Теперь,благодаря",Эсциталопрам
"Назначен от болей в пояснице. После 3 месяцев приёма препарата хронические боли в пояснице действительно прошли. Имеет противопоканая, поэтому принимать только по назначению врача и под его контролем.",Эсциталопрам
"Достоинства: быстро помогает от боли

Недостатки: подробнее в комментарии

Комментарий: Лично мне помогает при головных болях, вызванных пониженным давлением. Я гипотоник и иногда",Андипал
"Достоинства: Андипал по адекватной цене

Недостатки: нет

Комментарий: Антипал он и есть андипал независимо от упаковки. Но,цена,у некоторых продавцов, может отличаться, в сторону",Андипал
"Препарат старый, и всегда в аптечке. Пью при мышечных и головных болях. Хорошо расслабляет гладкую мускулатуру. При синдроме миньера первая помощь. 
Из своих свойств обладает ещё успокаивающим",Андипал
"Достоинства: помогает.

Недостатки: неь

Комментарий: у меня давление немного превышает норму . Начинает немного болеть голова. Сначала пил Цитрамон. Потом врач посоветовал андипал . Он",Андипал
"Достоинства: ничего
Недостатки: почитал положительные отзывы и сразу становится ясно , проплаченные, даже не пытались завуалировать , думаю на хороший препарат такой ерундой бы не занимались!",Афобазол
"Достоинства: Препарат рабочий, нервы успокаивает. 
В время курса приема советую не пить чай, кофе, колу, энергетики и другие напитки, которые содержат кофеин. А так же ещё алкоголь 😉
Комментарий: Если вам препарат не подошёл, то тогда надо к врачу, чтобы он подобрал рецептурные транквилизаторы 😬",Афобазол
"Достоинства: Их нет!
Недостатки: Не помогает вообще.
Комментарий: Зря только деньги потратил и время, максимум что можно получить от этих таблеток так это плацебо, но в моём случае изменений никаких от приема Афабозола.",Афобазол
"Достоинства: нету
Недостатки: полная хуета, срал 3 дня подряд, поломался толчок, сука вся квартира в говне, соседей затопило, теперь стало еще тревожнее от того что за мной придут и отпиздят нахуй",Авиандр
"После потери близкого человека думала сойду с ума. Еще и навалилось все. По совету врача стала пить Авиандр. После него лучше гораздо. Настроение вроде появилось, снова стала жить нормальной жизнью.",Авиандр
"Пробовала разные подобные препараты, но из всех, этот мне подошел идеально. Не седативный, эффект заметный уже через неделю приема.",Авиандр
"Достоинства: Доступная цена, легко найти в любой аптеке, эффективен для нормализации нервов, не нужен рецепт.

Недостатки: Не нашла.

Комментарий: Лучшее безрецептурное противотревожное",Афобазол
"Достоинства: Таблетка небольшая по форме, удобно глотать. Вкус я особо не чувствовала, запивала водой.
Могу сказать, что при моих тревожных состояниях Афобазол отлично помогает действительно. Врач",Афобазол
"Достоинства: Самое главное - действительно помогает легче переживать стресс, сопротивляться депрессии, что-то делать, когда без него просто лежала весь день и плакала в подушку. Снотворного",Афобазол
"Хороший отечественный препарат, предназначенный для устранения тревожного состояния, вызванного разными причинами (работа, личная жизнь, проблемы с детьми и т.д.). Курс составляет всего месяц, пить",Афобазол
